"","x"
"1",2
"2",7
"3",54
"4",1
"5",6
"6",7
"7",8
"8",11
"9",25
"10",54
"11",6
"12",8
"13",10
"14",11
"15",5
"16",8
"17",199
"18",4
"19",8
"20",2
"21",3
"22",8
"23",11
"24",1
"25",2
"26",9
"27",54
"28",2
"29",3
"30",4
"31",5
"32",6
"33",25
"34",199
"35",7
"36",54
"37",3
"38",11
"39",2
"40",3
"41",6
"42",10
"43",14
"44",15
"45",17
"46",19
"47",22
"48",42
"49",12
"50",15
"51",17
"52",24
"53",41
"54",12
"55",14
"56",19
"57",21
"58",24
"59",28
"60",24
"61",28
"62",29
"63",33
"64",35
"65",36
"66",12
"67",14
"68",22
"69",40
"70",41
"71",21
"72",28
"73",35
"74",47
"75",52
"76",12
"77",15
"78",21
"79",22
"80",27
"81",43
"82",47
"83",29
"84",30
"85",33
"86",36
"87",37
"88",38
"89",77
"90",91
"91",15
"92",18
"93",19
"94",28
"95",47
"96",12
"97",17
"98",19
"99",27
"100",40
"101",42
"102",26
"103",34
"104",37
"105",38
"106",39
"107",198
"108",14
"109",15
"110",16
"111",28
"112",36
"113",38
"114",41
"115",2
"116",8
"117",27
"118",43
"119",54
"120",23
"121",31
"122",34
"123",40
"124",198
"125",19
"126",22
"127",25
"128",42
"129",43
"130",15
"131",16
"132",18
"133",21
"134",24
"135",35
"136",16
"137",20
"138",33
"139",36
"140",20
"141",37
"142",39
"143",91
"144",95
"145",26
"146",32
"147",40
"148",198
"149",31
"150",40
"151",16
"152",20
"153",29
"154",35
"155",77
"156",23
"157",26
"158",38
"159",40
"160",41
"161",16
"162",18
"163",28
"164",33
"165",44
"166",52
"167",63
"168",77
"169",16
"170",20
"171",24
"172",29
"173",38
"174",20
"175",23
"176",30
"177",38
"178",39
"179",20
"180",23
"181",24
"182",34
"183",36
"184",37
"185",41
"186",23
"187",30
"188",37
"189",95
"190",196
"191",17
"192",22
"193",26
"194",31
"195",32
"196",34
"197",41
"198",14
"199",17
"200",24
"201",34
"202",38
"203",40
"204",13
"205",22
"206",27
"207",19
"208",25
"209",27
"210",46
"211",47
"212",48
"213",53
"214",54
"215",55
"216",35
"217",50
"218",52
"219",61
"220",63
"221",65
"222",77
"223",50
"224",60
"225",61
"226",70
"227",72
"228",73
"229",76
"230",43
"231",47
"232",49
"233",53
"234",59
"235",18
"236",19
"237",21
"238",43
"239",46
"240",52
"241",59
"242",43
"243",53
"244",55
"245",57
"246",64
"247",46
"248",44
"249",45
"250",51
"251",60
"252",61
"253",64
"254",65
"255",50
"256",56
"257",60
"258",62
"259",64
"260",18
"261",35
"262",44
"263",47
"264",59
"265",65
"266",43
"267",46
"268",48
"269",57
"270",59
"271",65
"272",1
"273",2
"274",7
"275",9
"276",25
"277",43
"278",55
"279",62
"280",64
"281",43
"282",48
"283",54
"284",64
"285",51
"286",48
"287",53
"288",64
"289",65
"290",60
"291",66
"292",46
"293",47
"294",52
"295",53
"296",65
"297",45
"298",50
"299",51
"300",58
"301",66
"302",72
"303",44
"304",45
"305",50
"306",63
"307",70
"308",77
"309",51
"310",54
"311",64
"312",35
"313",44
"314",61
"315",77
"316",48
"317",50
"318",51
"319",54
"320",55
"321",57
"322",62
"323",65
"324",44
"325",50
"326",52
"327",53
"328",57
"329",59
"330",64
"331",58
"332",60
"333",72
"334",82
"335",200
"336",68
"337",75
"338",107
"339",67
"340",71
"341",75
"342",76
"343",81
"344",82
"345",84
"346",87
"347",107
"348",200
"349",80
"350",81
"351",83
"352",84
"353",45
"354",61
"355",73
"356",77
"357",83
"358",68
"359",84
"360",45
"361",60
"362",66
"363",76
"364",82
"365",45
"366",70
"367",76
"368",79
"369",80
"370",83
"371",75
"372",106
"373",183
"374",67
"375",68
"376",74
"377",87
"378",98
"379",106
"380",107
"381",177
"382",183
"383",45
"384",68
"385",72
"386",73
"387",79
"388",81
"389",82
"390",20
"391",33
"392",35
"393",44
"394",61
"395",63
"396",70
"397",83
"398",91
"399",79
"400",80
"401",81
"402",73
"403",76
"404",78
"405",80
"406",81
"407",69
"408",73
"409",78
"410",79
"411",81
"412",83
"413",68
"414",69
"415",76
"416",78
"417",79
"418",80
"419",84
"420",66
"421",68
"422",72
"423",76
"424",200
"425",69
"426",70
"427",73
"428",77
"429",80
"430",84
"431",89
"432",91
"433",97
"434",68
"435",69
"436",71
"437",81
"438",83
"439",87
"440",92
"441",97
"442",93
"443",197
"444",89
"445",97
"446",100
"447",103
"448",104
"449",68
"450",75
"451",84
"452",92
"453",96
"454",98
"455",93
"456",94
"457",97
"458",104
"459",197
"460",83
"461",86
"462",91
"463",97
"464",100
"465",95
"466",99
"467",190
"468",20
"469",30
"470",77
"471",83
"472",89
"473",95
"474",100
