"","x"
"1",3
"2",7
"3",4
"4",3
"5",2
"6",4
"7",4
"8",7
"9",2
"10",2
"11",4
"12",5
"13",1
"14",5
"15",6
"16",6
"17",5
"18",5
"19",7
"20",8
"21",5
"22",6
"23",6
"24",7
"25",5
"26",5
"27",5
"28",6
"29",4
"30",5
"31",4
"32",2
"33",5
"34",5
"35",8
"36",5
"37",5
"38",7
"39",5
"40",7
"41",6
"42",3
"43",9
"44",7
"45",7
"46",5
"47",7
"48",5
"49",1
"50",7
"51",5
"52",6
"53",6
"54",9
"55",4
"56",1
"57",4
"58",2
"59",5
"60",6
"61",6
"62",3
"63",4
"64",8
"65",7
"66",5
"67",3
"68",10
"69",4
"70",5
"71",2
"72",5
"73",6
"74",3
"75",9
"76",7
"77",9
"78",3
"79",5
"80",6
"81",7
"82",5
"83",9
"84",8
"85",2
"86",5
"87",6
"88",5
"89",5
"90",3
"91",8
"92",5
"93",8
"94",4
"95",9
"96",5
"97",13
"98",7
"99",6
"100",7
"101",2
"102",2
"103",5
"104",5
"105",4
"106",7
"107",10
"108",6
"109",4
"110",3
"111",8
"112",2
"113",6
"114",3
"115",4
"116",2
"117",6
"118",2
"119",8
"120",5
"121",6
"122",3
"123",6
"124",3
"125",7
"126",9
"127",6
"128",7
"129",6
"130",5
"131",6
"132",5
"133",3
"134",4
"135",6
"136",5
"137",5
"138",7
"139",3
"140",5
"141",5
"142",3
"143",5
"144",5
"145",5
"146",3
"147",5
"148",4
"149",2
"150",6
"151",4
"152",3
"153",4
"154",4
"155",3
"156",5
"157",2
"158",4
"159",3
"160",4
"161",7
"162",7
"163",5
"164",3
"165",7
"166",9
"167",3
"168",4
"169",3
"170",1
"171",5
"172",7
"173",6
"174",2
"175",5
"176",5
"177",11
"178",3
"179",4
"180",6
"181",3
"182",1
"183",6
"184",8
"185",5
"186",8
"187",5
"188",3
"189",4
"190",7
"191",1
"192",3
"193",5
"194",4
"195",3
"196",1
"197",8
"198",3
"199",2
"200",5
"201",5
"202",3
"203",1
"204",9
"205",9
"206",6
"207",6
"208",9
"209",4
"210",1
