"","x"
"1",14
"2",36
"3",25
"4",20
"5",19
"6",32
"7",35
"8",40
"9",34
"10",19
"11",35
"12",19
"13",19
"14",36
"15",25
"16",25
"17",22
"18",29
"19",48
"20",27
"21",28
"22",26
"23",16
"24",31
"25",63
"26",22
"27",20
"28",23
"29",23
"30",23
"31",21
"32",14
"33",37
"34",24
"35",33
"36",30
"37",15
"38",26
"39",30
"40",17
"41",41
"42",22
"43",21
"44",31
"45",16
"46",46
"47",27
"48",29
"49",13
"50",39
"51",42
"52",30
"53",44
"54",22
"55",22
"56",32
"57",32
"58",20
"59",24
"60",22
"61",34
"62",15
"63",68
"64",46
"65",42
"66",31
"67",8
"68",46
"69",13
"70",16
"71",43
"72",29
"73",25
"74",33
"75",79
"76",16
"77",36
"78",40
"79",20
"80",17
"81",16
"82",17
"83",67
"84",49
"85",29
"86",18
"87",53
"88",42
"89",17
"90",25
"91",30
"92",26
"93",25
"94",64
"95",42
"96",29
"97",34
"98",36
"99",39
"100",21
"101",33
"102",22
"103",36
"104",33
"105",13
"106",55
"107",107
"108",69
"109",51
"110",27
"111",72
"112",25
"113",49
"114",39
"115",23
"116",25
"117",33
"118",20
"119",40
"120",23
"121",30
"122",25
"123",47
"124",31
"125",42
"126",43
"127",29
"128",34
"129",48
"130",46
"131",41
"132",35
"133",34
"134",24
"135",34
"136",32
"137",30
"138",37
"139",28
"140",22
"141",40
"142",37
"143",38
"144",38
"145",26
"146",38
"147",28
"148",26
"149",32
"150",34
"151",40
"152",30
"153",22
"154",16
"155",34
"156",26
"157",22
"158",60
"159",14
"160",32
"161",24
"162",28
"163",24
"164",33
"165",30
"166",44
"167",25
"168",14
"169",13
"170",17
"171",18
"172",44
"173",29
"174",24
"175",15
"176",15
"177",83
"178",25
"179",18
"180",27
"181",15
"182",30
"183",27
"184",73
"185",20
"186",22
"187",23
"188",54
"189",93
"190",76
"191",66
"192",26
"193",68
"194",35
"195",27
"196",39
"197",98
"198",59
"199",26
"200",20
"201",32
"202",23
"203",22
"204",39
"205",59
"206",24
"207",27
"208",62
"209",108
"210",34
