"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",15,16,15,13,19,23,12,15,21,25,8,6,9,21,19
"2",31,37,34,36,52,48,50,49,33,45,32,23,27,37,34
"3",15,18,26,14,23,23,20,19,22,22,14,21,11,16,23
"4",23,19,12,16,24,11,23,13,10,12,16,16,14,10,19
"5",17,18,25,20,24,22,25,18,20,24,18,15,17,17,17
"6",31,34,30,32,48,44,26,36,27,27,27,24,16,28,26
"7",29,42,50,41,47,49,40,44,45,41,23,37,33,40,32
"8",39,35,33,38,44,54,38,36,40,36,26,33,33,40,25
"9",27,38,37,35,43,50,39,30,30,45,25,28,24,27,25
"10",14,21,17,16,25,25,14,21,22,8,12,18,12,15,13
"11",32,27,45,32,36,33,46,31,20,37,20,19,29,29,23
"12",24,22,19,11,18,21,28,18,13,16,8,12,15,20,16
"13",18,22,19,24,28,27,24,18,19,19,16,21,13,15,19
"14",33,38,47,31,35,43,34,43,24,35,25,24,35,27,33
"15",25,23,32,31,32,30,34,21,28,34,20,27,19,19,17
"16",31,24,22,37,47,29,30,15,22,21,26,28,22,21,26
"17",22,18,29,35,26,35,19,18,18,22,13,20,17,17,12
"18",30,25,31,24,39,28,32,31,30,31,23,33,24,28,27
"19",36,45,51,59,57,72,38,44,49,41,29,50,45,37,40
"20",29,35,23,25,38,33,35,24,36,25,21,21,19,28,26
"21",28,23,24,18,28,44,36,22,32,29,30,24,31,24,29
"22",23,41,32,32,30,34,36,22,27,29,17,34,21,27,29
"23",16,19,19,17,21,31,15,19,11,18,15,16,13,14,18
"24",37,38,30,35,46,40,28,25,21,30,18,28,25,25,26
"25",49,50,70,48,83,86,64,62,55,51,60,52,32,46,53
"26",23,29,32,25,26,38,33,31,20,16,28,30,26,14,22
"27",10,24,30,19,21,30,9,16,22,19,12,16,15,23,16
"28",29,29,19,30,36,23,25,21,23,28,14,24,19,17,24
"29",28,29,32,19,40,33,43,24,28,28,18,22,26,16,15
"30",17,20,32,28,29,34,30,22,21,18,8,15,21,19,21
"31",18,24,27,23,34,31,30,12,21,29,17,20,16,16,14
"32",11,13,14,11,19,18,13,12,21,8,9,11,15,11,13
"33",33,43,45,46,41,41,29,34,32,40,21,18,21,35,24
"34",21,24,22,29,36,22,30,24,29,22,24,28,14,17,21
"35",30,34,39,43,37,46,39,34,39,21,31,31,29,21,34
"36",27,24,36,38,44,46,36,35,33,30,21,25,28,32,30
"37",18,21,19,14,22,22,26,10,13,19,15,10,14,13,15
"38",22,28,34,33,31,43,27,29,22,24,34,28,26,29,23
"39",27,38,25,30,42,37,23,33,26,24,20,30,29,29,21
"40",10,10,22,18,19,21,21,17,11,13,16,12,13,25,17
"41",34,37,42,44,43,44,45,42,39,53,28,31,31,31,36
"42",20,22,27,22,40,30,30,29,21,21,10,19,15,19,23
"43",11,20,22,24,25,21,30,30,21,23,17,8,20,17,22
"44",37,26,42,30,48,40,35,25,32,33,26,32,30,32,33
"45",14,19,22,19,15,26,11,20,15,19,13,12,13,12,22
"46",31,56,55,42,64,57,58,56,48,51,56,47,44,40,36
"47",28,23,40,36,36,42,31,29,35,20,21,24,30,23,25
"48",27,30,40,27,43,35,25,24,28,30,29,41,23,27,22
"49",26,17,17,14,12,19,21,19,9,14,11,17,8,12,13
"50",35,27,46,39,46,43,50,44,27,43,42,35,32,31,34
"51",52,43,42,49,48,53,51,48,57,56,41,45,38,47,27
"52",28,37,38,30,43,45,33,32,45,39,23,24,31,31,25
"53",46,50,38,47,55,54,48,57,42,48,36,54,27,35,36
"54",20,26,21,21,39,32,23,16,25,15,22,21,15,19,29
"55",15,21,27,21,32,32,26,23,17,19,16,24,9,12,11
"56",17,21,37,36,38,35,37,31,35,37,24,24,19,23,30
"57",28,35,34,35,46,43,35,38,36,56,22,28,26,27,30
"58",19,16,16,19,26,16,24,17,15,13,14,12,9,14,11
"59",21,22,26,25,29,28,30,16,23,25,30,15,14,17,20
"60",18,20,23,16,31,34,35,22,20,21,22,18,25,18,19
"61",33,31,40,32,42,40,42,34,30,40,25,35,37,29,39
"62",11,13,10,17,16,15,19,8,11,20,7,10,9,10,11
"63",73,70,67,60,70,93,65,57,74,76,68,52,44,61,67
"64",40,32,44,43,48,61,50,42,30,33,27,39,40,33,57
"65",42,51,64,36,64,53,50,46,47,45,27,38,39,36,38
"66",23,33,32,31,49,46,44,32,35,32,28,30,21,25,31
"67",4,4,11,5,12,15,8,7,10,10,6,6,7,5,7
"68",44,43,55,49,57,68,65,39,53,43,29,36,45,34,41
"69",11,10,12,9,18,27,16,22,13,18,14,11,11,15,9
"70",16,18,18,12,23,12,22,18,19,18,7,13,13,9,16
"71",33,62,52,53,63,62,45,57,36,30,37,43,32,35,41
"72",27,32,36,29,40,31,23,31,28,32,23,23,22,22,20
"73",17,28,32,23,33,28,26,15,21,31,27,25,25,21,24
"74",40,43,52,32,45,42,42,37,49,38,23,40,35,33,24
"75",81,72,82,92,110,112,84,80,73,81,53,58,89,63,69
"76",19,11,8,14,16,17,12,23,16,15,19,21,16,13,14
"77",33,21,34,54,49,42,28,28,37,35,20,38,41,30,35
"78",39,44,53,45,54,47,56,56,41,44,39,49,46,42,45
"79",31,15,23,23,26,21,27,22,20,21,10,12,15,11,26
"80",24,24,15,14,23,23,20,19,27,19,7,13,13,13,21
"81",13,14,15,10,24,22,22,17,21,12,17,18,13,10,16
"82",15,17,21,10,27,29,21,24,24,19,14,12,16,30,14
"83",68,76,92,70,68,76,66,72,69,81,61,62,60,61,52
"84",48,50,56,51,55,74,52,47,55,37,35,49,35,50,36
"85",19,21,30,33,33,28,21,15,29,28,17,16,31,17,13
"86",10,19,23,21,24,18,17,20,17,17,10,18,15,12,13
"87",41,50,71,54,65,61,59,52,50,43,47,41,45,37,46
"88",35,39,39,51,57,51,39,45,33,44,32,42,44,31,45
"89",12,13,18,13,13,21,20,16,8,14,17,15,12,7,16
"90",28,22,23,21,28,30,35,15,27,19,20,28,23,20,31
"91",31,26,27,29,41,32,34,31,23,32,20,21,18,25,25
"92",19,33,32,18,40,26,30,36,26,25,20,28,22,16,27
"93",31,18,30,26,33,37,20,27,18,24,19,22,11,20,20
"94",49,49,70,51,86,66,74,68,56,68,50,50,46,53,56
"95",33,35,47,35,45,48,39,39,40,49,24,39,28,31,29
"96",28,28,28,19,31,43,39,30,25,35,23,24,23,16,31
"97",36,34,42,37,36,41,40,33,33,28,30,25,35,27,19
"98",30,31,47,34,36,52,38,32,42,35,38,34,23,20,35
"99",32,35,40,35,52,55,46,21,28,29,35,37,24,25,29
"100",21,15,30,16,27,27,23,20,24,32,16,19,11,13,19
"101",33,27,26,31,33,36,26,35,39,23,28,20,23,23,32
"102",31,27,43,26,32,30,21,21,34,28,21,22,22,30,28
"103",24,31,37,35,34,49,40,38,34,24,19,25,16,27,35
"104",31,30,36,32,37,39,39,29,37,44,24,28,33,34,24
"105",13,19,16,11,23,15,19,10,16,15,5,19,12,11,17
"106",59,56,56,61,75,71,56,57,61,64,38,40,56,44,64
"107",99,116,113,104,141,134,106,97,110,112,84,108,84,89,109
"108",77,80,81,71,89,90,65,66,64,71,55,67,50,72,66
"109",55,55,63,45,70,78,60,68,64,64,39,44,46,53,55
"110",34,33,36,33,46,39,41,30,29,30,12,28,21,28,28
"111",80,53,84,85,90,115,79,82,87,70,74,77,64,69,71
"112",25,22,20,22,35,32,28,28,31,24,13,20,17,23,32
"113",36,46,50,40,66,68,47,56,50,36,44,36,31,39,37
"114",23,42,52,39,51,63,47,38,39,33,37,36,28,27,42
"115",21,17,27,25,34,39,26,24,26,31,15,17,28,22,19
"116",26,32,24,26,32,40,24,28,33,30,29,24,25,32,21
"117",32,48,47,37,57,41,46,35,35,39,27,19,37,42,39
"118",33,28,35,28,39,19,34,30,28,25,14,17,19,16,24
"119",36,41,50,42,61,52,56,51,44,45,27,25,33,41,36
"120",21,25,28,24,30,37,32,18,30,16,24,25,25,28,17
"121",27,34,25,32,38,48,37,32,28,30,30,34,36,32,29
"122",28,20,31,32,34,33,22,20,19,23,21,22,17,21,23
"123",44,33,58,43,63,55,46,47,41,41,32,34,25,36,38
"124",26,23,29,34,37,47,31,29,41,37,23,27,27,23,22
"125",40,32,43,40,67,54,40,40,41,36,29,39,26,45,33
"126",34,47,49,45,50,69,40,45,42,47,28,37,34,36,41
"127",14,23,31,26,38,44,20,23,30,36,21,21,19,23,26
"128",29,37,35,33,38,41,42,23,32,43,27,38,26,24,29
"129",38,66,48,45,58,73,57,46,52,57,34,47,37,38,49
"130",43,46,51,41,46,53,41,44,46,38,41,28,34,27,45
"131",39,55,42,46,47,58,57,57,49,43,39,46,33,46,42
"132",31,40,50,31,40,45,49,53,29,43,39,28,31,27,28
"133",29,40,45,35,48,37,50,45,35,28,25,31,32,36,24
"134",12,25,26,25,29,37,23,23,23,21,22,18,21,20,26
"135",25,26,32,33,44,52,42,46,37,27,19,20,32,32,36
