"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",18,20,22,23,14,25,19,17,10,12,22,25,14,12,12
"2",45,45,42,52,43,44,41,50,36,42,37,44,31,32,37
"3",27,27,33,32,21,21,27,25,21,27,26,25,20,21,17
"4",18,18,24,22,28,31,28,16,19,22,17,13,16,12,10
"5",25,22,20,19,22,10,17,10,12,14,16,10,12,13,16
"6",32,38,27,38,39,43,38,30,24,32,33,31,30,35,32
"7",46,41,52,51,36,41,41,34,32,40,32,36,40,32,32
"8",43,52,36,40,42,32,53,41,33,36,39,44,42,38,40
"9",39,39,46,37,34,33,41,32,34,31,26,48,32,29,21
"10",23,23,23,19,19,22,17,17,20,13,25,15,25,16,22
"11",33,44,29,49,59,34,46,28,25,38,38,36,40,25,24
"12",14,19,16,22,18,19,25,16,16,25,20,16,10,18,15
"13",17,18,15,16,27,17,12,15,10,19,17,13,16,15,14
"14",43,37,43,33,43,43,36,45,29,40,41,36,39,30,27
"15",19,30,35,31,31,22,33,14,31,29,34,22,21,20,24
"16",14,27,27,39,32,32,20,33,22,19,28,30,25,30,20
"17",10,10,23,28,28,18,18,33,14,20,14,24,15,18,12
"18",33,45,34,34,22,23,34,28,24,22,29,20,23,28,19
"19",61,52,67,58,50,64,52,45,54,51,42,48,37,37,36
"20",27,22,27,29,27,31,30,23,23,29,28,27,29,20,16
"21",30,34,30,37,31,36,44,23,24,29,35,38,30,27,21
"22",19,25,35,20,26,20,24,27,12,20,16,19,20,15,15
"23",15,17,16,14,18,14,15,12,11,15,18,15,15,11,10
"24",33,27,43,36,33,29,32,28,19,33,23,33,27,21,21
"25",61,63,57,72,53,69,71,55,43,43,45,60,59,44,56
"26",27,19,16,19,27,30,27,28,21,27,22,20,17,18,19
"27",34,22,22,25,22,23,19,15,20,23,21,18,15,17,11
"28",29,37,29,32,23,28,38,26,24,22,22,31,24,22,18
"29",32,37,32,29,36,32,33,38,27,25,34,25,26,23,20
"30",12,27,27,27,30,29,19,30,22,25,18,25,19,27,20
"31",31,34,28,21,21,16,32,11,26,25,15,16,20,17,18
"32",17,23,20,12,19,15,14,12,15,10,13,14,16,11,14
"33",46,43,39,31,49,49,41,39,29,28,34,34,21,30,26
"34",23,23,32,25,21,21,35,28,27,24,33,25,20,23,22
"35",32,32,46,40,33,38,34,27,30,27,19,33,20,30,16
"36",29,40,33,52,33,41,33,28,23,28,31,31,29,25,25
"37",12,10,19,14,24,13,14,11,12,14,10,11,8,17,9
