"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",11,8,11,15,16,13,27,12,12,17,10,5,12,12,13
"2",50,51,55,70,81,76,115,109,131,122,99,82,103,127,99
"3",31,31,39,30,40,52,64,65,96,169,121,127,178,170,280
"4",23,24,28,25,12,21,33,31,13,17,16,22,18,16,27
"5",17,18,24,23,29,23,14,22,20,16,21,18,17,22,17
"6",27,28,28,14,20,26,24,36,22,19,18,16,24,23,17
"7",45,31,27,50,40,47,34,33,29,45,30,27,32,30,30
"8",20,38,40,39,41,46,65,32,39,37,38,41,33,33,34
"9",35,41,40,38,23,25,44,26,26,19,26,22,26,30,30
"10",17,16,7,14,12,12,10,11,22,12,14,22,25,20,22
"11",35,43,25,36,21,19,40,22,9,19,13,20,20,33,47
"12",20,19,23,25,23,25,16,20,20,22,12,14,21,20,14
"13",13,19,23,19,19,17,19,11,18,18,23,17,12,25,20
"14",33,41,47,49,39,43,46,31,28,40,29,25,33,25,41
"15",26,19,29,26,31,23,30,23,10,20,26,19,26,30,32
"16",19,14,23,26,20,22,29,23,19,27,15,23,17,20,17
"17",21,33,30,23,20,25,25,25,17,21,21,18,23,22,25
"18",34,32,36,30,27,24,37,31,32,34,28,24,36,33,26
"19",37,44,77,47,52,50,61,34,45,46,43,48,54,45,39
"20",27,31,38,34,27,29,33,28,24,17,25,23,18,27,16
"21",29,25,42,35,34,40,29,27,23,41,28,24,36,32,44
"22",14,24,35,27,37,26,35,28,26,25,32,15,29,37,15
"23",25,8,11,12,7,8,9,10,7,6,5,7,9,7,10
"24",37,29,36,30,29,29,32,24,14,30,29,22,20,31,24
"25",83,58,38,53,56,45,109,87,89,99,136,140,138,78,102
"26",17,19,28,26,27,31,29,24,16,15,24,21,24,20,26
"27",26,22,21,19,18,16,10,11,20,36,28,26,18,19,19
"28",13,33,20,21,30,26,21,24,31,32,10,26,20,14,18
"29",24,21,28,26,23,27,26,10,21,31,20,25,26,19,20
"30",25,21,29,31,33,27,24,11,19,20,29,20,28,17,22
"31",25,24,33,29,26,29,27,15,13,32,21,18,24,27,25
"32",20,16,19,24,21,22,27,14,16,21,15,13,22,18,17
"33",37,50,38,30,26,49,43,20,26,18,27,38,33,22,33
"34",28,22,31,29,23,28,17,18,28,18,20,20,26,21,26
"35",36,26,21,37,35,38,28,31,24,23,31,18,25,28,29
"36",29,33,33,27,26,28,40,35,27,23,21,23,36,28,30
"37",15,14,21,18,20,19,18,19,10,21,21,16,22,22,16
"38",25,36,28,23,28,31,26,25,18,35,16,15,25,25,29
"39",31,26,38,35,32,29,28,28,25,22,28,21,28,28,20
"40",28,23,21,22,14,17,24,13,19,19,19,15,22,19,21
"41",44,39,44,31,45,43,49,46,40,46,29,39,39,33,45
"42",23,20,41,35,26,20,41,31,32,25,29,30,24,23,30
"43",25,32,37,43,33,33,50,27,31,20,32,19,24,19,29
"44",28,15,33,29,25,36,25,35,17,34,19,22,29,19,30
"45",18,16,25,24,18,16,20,12,22,21,18,10,16,9,13
"46",39,40,47,49,51,61,50,43,27,47,43,33,38,52,39
"47",33,32,46,24,20,29,31,32,23,33,25,19,25,30,28
"48",25,41,30,30,33,38,41,24,21,34,32,13,33,29,34
"49",13,10,14,10,7,9,18,19,15,17,8,3,10,6,13
"50",33,41,36,42,46,31,55,38,30,31,47,23,46,35,26
"51",43,49,50,59,42,44,44,40,43,38,35,35,31,39,59
"52",32,16,34,43,34,28,30,21,22,24,38,30,25,30,27
"53",53,43,57,55,46,53,76,38,35,54,58,40,52,42,50
"54",22,31,21,19,15,29,27,21,23,25,23,17,23,19,19
"55",26,19,32,36,17,23,25,22,25,27,31,24,25,20,23
"56",40,41,47,39,31,30,34,40,26,36,25,25,34,29,31
"57",29,42,29,42,37,42,30,42,17,44,32,24,38,35,28
"58",18,29,16,21,30,18,28,16,15,11,15,9,16,22,18
"59",28,26,37,23,26,22,22,27,27,25,28,25,30,25,27
"60",25,27,28,30,26,23,34,27,23,22,26,15,27,32,22
"61",26,30,50,36,36,34,37,26,25,26,27,30,31,23,27
"62",19,15,17,15,14,19,26,19,9,18,11,19,23,14,5
"63",53,72,68,78,83,84,80,47,57,68,71,70,73,56,63
"64",49,40,51,51,49,27,46,42,27,35,42,32,56,47,45
"65",36,38,34,41,37,32,51,30,35,35,43,44,26,38,35
"66",29,33,40,29,32,23,29,36,29,29,23,24,28,30,33
"67",7,10,11,9,9,16,8,6,4,10,15,3,7,12,5
"68",54,52,81,52,43,39,44,29,41,49,33,39,38,41,36
"69",10,12,16,12,15,16,20,9,13,20,10,8,15,13,11
"70",17,11,13,18,21,15,15,8,9,13,14,12,14,19,18
"71",64,39,61,52,61,58,56,54,36,46,43,54,39,62,43
"72",30,34,29,27,27,33,35,27,26,26,29,22,27,25,37
"73",15,25,22,22,30,18,33,21,16,17,20,29,21,29,28
"74",42,44,44,44,42,38,46,32,28,41,37,35,35,41,31
"75",76,70,95,100,69,91,88,57,63,81,60,79,102,74,71
"76",27,13,28,24,15,16,16,12,10,20,14,14,13,17,14
"77",45,40,41,47,42,32,44,33,32,41,36,33,40,30,36
"78",38,43,44,68,41,48,64,48,42,45,37,38,60,47,45
"79",21,28,30,24,24,20,26,22,23,27,23,20,17,19,20
"80",16,13,19,21,22,19,23,19,18,9,23,14,15,20,17
"81",11,10,20,24,15,19,25,14,19,21,17,12,11,16,11
"82",19,20,16,20,15,21,18,20,18,34,21,16,25,14,20
"83",59,63,72,70,67,65,81,46,69,64,68,57,62,61,64
"84",64,42,59,50,56,63,66,59,45,51,41,34,53,33,50
"85",31,23,34,35,32,30,33,20,22,28,22,18,37,18,22
"86",11,34,36,39,42,35,21,26,29,29,45,39,50,52,39
"87",49,51,68,66,48,48,59,49,42,63,57,51,53,55,61
"88",40,37,43,39,40,36,48,37,32,49,31,40,44,38,33
"89",26,23,26,26,21,19,17,18,13,18,25,13,22,15,13
"90",22,19,19,33,31,33,38,19,28,24,20,31,18,15,24
"91",40,25,30,35,34,36,38,27,23,29,29,26,39,24,33
"92",22,28,29,27,25,30,30,18,29,33,22,19,25,27,34
"93",27,20,22,18,21,32,26,25,18,25,22,18,28,23,20
"94",72,67,68,82,67,63,75,50,51,55,80,63,64,70,73
"95",45,44,42,44,31,69,54,42,34,37,35,41,36,32,41
"96",26,30,33,29,32,34,25,26,20,37,29,24,23,23,30
"97",32,45,31,46,30,41,42,30,23,32,24,27,32,31,15
"98",34,31,36,40,36,35,45,24,35,34,46,35,44,19,40
"99",37,42,46,32,33,28,29,35,28,39,31,26,37,23,36
"100",12,16,21,15,22,18,23,21,23,17,23,16,12,6,5
"101",30,35,29,32,28,35,28,33,27,28,32,26,25,25,24
"102",23,29,41,23,26,28,32,19,24,29,33,28,25,24,18
"103",39,41,66,42,52,35,57,48,31,48,47,28,35,32,36
"104",27,34,39,30,42,31,33,33,30,32,44,31,33,27,34
"105",9,16,12,11,13,6,6,12,18,12,9,14,12,14,11
"106",53,53,73,58,44,54,58,44,44,46,40,58,58,47,57
"107",109,121,138,131,137,95,121,82,90,97,99,94,100,120,89
"108",48,47,71,68,69,59,75,53,59,63,64,51,58,63,66
"109",55,54,63,72,65,54,71,57,47,66,60,45,51,52,46
"110",33,40,40,51,30,37,48,29,23,42,19,27,34,29,41
"111",61,63,84,82,83,77,86,61,73,80,81,73,65,81,69
"112",28,25,32,28,29,24,32,17,18,12,15,21,25,24,28
"113",51,50,60,48,57,56,49,38,50,45,61,40,46,46,58
"114",42,48,62,49,49,53,47,44,30,53,43,38,42,29,50
"115",21,18,33,23,24,34,30,22,25,22,32,23,27,22,33
"116",32,33,33,34,36,29,28,25,21,25,21,24,26,34,25
"117",33,34,41,34,28,36,48,31,26,28,38,44,37,34,28
"118",22,29,24,21,30,39,37,21,10,20,25,18,25,28,35
"119",41,39,56,58,42,49,47,48,33,42,41,41,47,28,40
"120",30,21,27,27,18,14,26,20,10,22,23,19,19,14,16
"121",37,24,30,31,35,29,28,28,25,28,32,36,34,25,21
"122",19,23,25,26,20,31,28,20,24,25,23,18,19,25,21
"123",56,46,60,51,54,62,61,41,39,57,38,53,54,52,40
"124",34,27,31,33,37,28,31,33,16,31,37,35,25,24,37
"125",35,33,23,42,28,41,32,30,37,28,36,23,23,26,24
"126",53,55,47,57,61,52,64,43,44,53,53,45,40,53,31
"127",30,24,32,26,32,28,27,28,22,20,21,35,28,19,27
"128",28,36,39,39,22,34,31,31,30,38,31,36,42,34,33
"129",46,62,65,50,58,54,52,42,51,43,61,43,58,43,57
"130",59,37,42,58,42,64,43,47,27,34,43,30,29,27,34
"131",35,38,49,34,42,53,52,45,29,41,33,32,40,30,40
"132",42,35,37,38,32,36,36,28,31,23,26,31,44,34,32
"133",32,32,46,33,41,30,44,27,32,33,30,36,34,34,24
"134",39,30,30,40,43,30,31,33,21,36,32,21,31,26,35
"135",36,49,40,36,31,35,37,28,28,34,24,31,40,29,26
"136",31,30,42,50,45,30,37,25,23,28,26,22,44,20,28
"137",29,30,40,38,35,34,41,30,15,30,39,30,27,34,20
