"","(Intercept)","predictor"
"1",1,16
"2",1,16
"3",1,10
"4",1,24
"5",1,10
"6",1,24
"7",1,10
"8",1,7
"9",1,7
"10",1,16
"11",1,7
"12",1,16
"13",1,10
"14",1,24
"15",1,7
"16",1,16
"17",1,10
"18",1,7
"19",1,7
"20",1,10
"21",1,7
"22",1,16
"23",1,10
"24",1,7
"25",1,1
"26",1,1
"27",1,7
"28",1,7
"29",1,10
"30",1,10
"31",1,7
"32",1,24
"33",1,10
"34",1,7
"35",1,7
"36",1,0
"37",1,10
"38",1,1
"39",1,16
"40",1,0
"41",1,1
"42",1,16
"43",1,16
"44",1,0
"45",1,1
"46",1,7
"47",1,1
"48",1,1
"49",1,0
"50",1,1
"51",1,1
"52",1,0
"53",1,1
"54",1,1
"55",1,16
"56",1,10
