"","expected"
"1",1.4
"2",8.7
"3",3
"4",2.5
"5",4.3
"6",2.4
"7",8.1
"8",2.3
"9",2
"10",6.6
"11",4.4
"12",1.8
"13",1.1
"14",3.3
"15",7.8
"16",4.6
"17",1.1
"18",4.2
"19",5.5
"20",4.4
"21",10.5
"22",22.7
"23",8.8
"24",5.6
"25",15.5
"26",12.5
"27",6
"28",9
"29",14.4
"30",10.2
"31",4.8
"32",2.9
"33",7
"34",8.5
"35",12.3
"36",10.1
"37",12.7
"38",9.4
"39",7.2
"40",5.3
"41",18.8
"42",15.8
"43",4.3
"44",14.6
"45",50.7
"46",8.2
"47",5.6
"48",9.3
"49",88.7
"50",19.6
"51",3.4
"52",3.6
"53",5.7
"54",7
"55",4.2
"56",1.8
