"","x"
"1",6
"2",10
"3",29
"4",41
"5",57
"6",75
"7",82
"8",83
"9",101
"10",105
"11",107
"12",145
"13",156
"14",178
"15",196
"16",202
"17",18
"18",197
"19",132
"20",60
"21",185
"22",139
"23",155
"24",184
"25",24
"26",2
"27",11
"28",43
"29",146
"30",124
"31",64
"32",3
"33",142
"34",193
"35",161
"36",81
"37",20
"38",159
"39",50
"40",84
"41",205
"42",14
"43",37
"44",36
"45",208
"46",114
"47",48
"48",55
"49",111
"50",112
"51",88
"52",123
"53",25
"54",51
"55",106
"56",165
"57",131
"58",204
"59",180
"60",103
"61",56
"62",102
"63",86
"64",8
"65",134
"66",26
"67",157
"68",171
"69",182
"70",147
"71",63
"72",163
"73",30
"74",126
"75",71
"76",13
"77",108
"78",72
"79",90
"80",206
"81",118
"82",1
"83",99
"84",194
"85",97
"86",49
"87",121
"88",67
"89",28
"90",68
"91",188
"92",66
"93",100
"94",92
"95",27
"96",154
"97",174
"98",190
"99",17
"100",113
"101",198
"102",203
"103",54
"104",5
"105",45
"106",168
"107",4
"108",153
"109",136
"110",148
"111",181
"112",172
"113",160
"114",130
"115",53
"116",74
"117",93
"118",87
"119",144
"120",128
"121",61
"122",176
"123",42
"124",110
"125",34
"126",31
"127",200
"128",23
"129",76
"130",116
"131",115
"132",52
"133",91
"134",109
"135",35
"136",135
"137",210
"138",85
"139",179
"140",140
"141",122
"142",164
"143",117
"144",183
"145",69
"146",175
"147",96
"148",94
"149",95
"150",166
"151",158
"152",80
"153",16
"154",38
"155",98
"156",12
"157",104
"158",141
"159",119
"160",191
"161",7
"162",170
"163",186
"164",150
"165",149
"166",9
"167",19
"168",189
"169",15
"170",40
"171",201
"172",46
"173",177
"174",209
"175",73
"176",125
"177",169
"178",151
"179",79
"180",192
"181",62
"182",129
"183",21
"184",22
"185",152
"186",162
"187",137
"188",39
"189",120
"190",65
"191",70
"192",77
"193",167
"194",32
"195",58
"196",59
"197",133
"198",127
"199",44
"200",173
"201",78
"202",187
"203",199
"204",143
"205",195
"206",89
"207",138
"208",33
"209",207
"210",47
