Inference for Stan model: anon_model_2a2618234cef00ff4e7128665fd75675.
4 chains, each with iter=500; warmup=250; thin=1; 
post-warmup draws per chain=250, total post-warmup draws=1000.

                        mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
var_ind_temporal[0]     0.01  1.6e-3   0.01 1.2e-3 4.8e-3 8.9e-3   0.02   0.05     86   1.05
var_ind_temporal[1]   9.6e-3  6.1e-4 9.9e-3 1.5e-3 4.1e-3 6.8e-3   0.01   0.03    269   1.01
var_ind_temporal[2]     0.01  1.2e-3   0.01 8.1e-4 3.7e-3 7.3e-3   0.01   0.04     77   1.03
var_ind_temporal[3]   9.1e-3  8.8e-4 8.5e-3 6.6e-4 3.3e-3 6.3e-3   0.01   0.03     94   1.02
var_ind_temporal[4]   7.5e-3  1.1e-3 9.2e-3 3.8e-4 1.9e-3 4.4e-3 9.3e-3   0.03     65   1.03
var_ind_temporal[5]     0.17  2.8e-3   0.08   0.06   0.11   0.15   0.21   0.36    767   1.01
var_ind_temporal[6]     0.01  1.6e-3   0.01 4.6e-4 3.9e-3 8.1e-3   0.02   0.05     65   1.06
var_ind_temporal[7]   5.3e-3  3.8e-4 5.0e-3 6.8e-4 2.1e-3 3.8e-3 6.6e-3   0.02    173   1.01
var_ind_temporal[8]   7.5e-3  6.5e-4 7.8e-3 6.1e-4 2.7e-3 4.9e-3 9.5e-3   0.03    145   1.01
var_ind_temporal[9]     0.13  2.7e-3   0.07   0.05   0.08   0.11   0.16    0.3    641    1.0
var_ind_temporal[10]  8.3e-3  5.9e-4 8.4e-3 6.7e-4 3.2e-3 5.9e-3   0.01   0.03    202   1.02
var_ind_temporal[11]  6.5e-3  6.1e-4 7.2e-3 4.4e-4 2.2e-3 4.4e-3 8.3e-3   0.02    137   1.01
var_ind_temporal[12]  9.9e-3  1.0e-3   0.01 4.3e-4 3.1e-3 6.9e-3   0.01   0.04    103   1.02
var_ind_temporal[13]    0.02  9.8e-4   0.02 1.7e-3 6.7e-3   0.01   0.02   0.07    273   1.01
var_ind_temporal[14]  7.0e-3  9.5e-4 7.3e-3 3.7e-4 2.2e-3 4.9e-3 9.3e-3   0.03     58   1.06
var_ind_temporal[15]    0.01  9.5e-4   0.01 6.8e-4 3.5e-3 7.5e-3   0.01   0.04    152   1.04
