"","x"
"1",6
"2",10
"3",29
"4",41
"5",18
"6",11
"7",24
"8",2
"9",3
"10",20
"11",36
"12",37
"13",14
"14",25
"15",8
"16",210
"17",111
"18",193
"19",152
"20",133
"21",60
"22",177
"23",89
"24",206
"25",85
"26",64
"27",43
"28",62
"29",69
"30",165
"31",105
"32",81
"33",168
"34",124
"35",132
"36",67
"37",129
"38",141
"39",182
"40",126
"41",52
"42",149
"43",58
"44",66
"45",86
"46",128
"47",117
"48",162
"49",59
"50",137
"51",150
"52",116
"53",171
"54",195
"55",78
"56",95
"57",123
"58",190
"59",164
"60",163
"61",127
"62",50
"63",102
"64",88
"65",181
"66",118
"67",200
"68",98
"69",54
"70",46
"71",84
"72",122
"73",140
"74",63
"75",108
"76",180
"77",188
"78",198
"79",158
"80",208
"81",65
"82",104
"83",154
"84",170
"85",99
"86",61
"87",40
"88",185
"89",197
"90",157
"91",103
"92",68
"93",47
"94",51
"95",49
"96",82
"97",79
"98",100
"99",189
"100",207
"101",48
"102",87
"103",75
"104",97
"105",120
"106",147
"107",44
"108",110
"109",151
"110",55
"111",57
"112",109
"113",130
"114",131
"115",143
"116",145
"117",136
"118",184
"119",186
"120",191
"121",70
"122",199
"123",92
"124",204
"125",202
"126",196
"127",96
"128",175
"129",72
"130",77
"131",139
"132",74
"133",134
"134",106
"135",83
"136",155
"137",138
"138",178
"139",183
"140",115
"141",172
"142",135
"143",209
"144",80
"145",101
"146",119
"147",90
"148",107
"149",53
"150",174
"151",176
"152",56
"153",205
"154",166
"155",160
"156",94
"157",167
"158",146
"159",159
"160",156
"161",42
"162",114
"163",187
"164",153
"165",71
"166",121
"167",201
"168",45
"169",179
"170",125
"171",113
"172",73
"173",194
"174",203
"175",112
"176",169
"177",76
"178",144
"179",173
"180",142
"181",192
"182",161
"183",91
"184",93
"185",148
"186",13
"187",1
"188",26
"189",27
"190",28
"191",17
"192",5
"193",4
"194",30
"195",35
"196",34
"197",23
"198",31
"199",38
"200",16
"201",7
"202",12
"203",19
"204",15
"205",9
"206",21
"207",22
"208",32
"209",33
"210",39
