Inference for Stan model: anon_model_2a2618234cef00ff4e7128665fd75675.
4 chains, each with iter=500; warmup=250; thin=1; 
post-warmup draws per chain=250, total post-warmup draws=1000.

                        mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
var_ind_temporal[0]     0.01  1.3e-3   0.01 1.7e-3 6.0e-3   0.01   0.02   0.05    103   1.04
var_ind_temporal[1]   8.6e-3  5.2e-4 7.4e-3 1.5e-3 3.9e-3 6.4e-3   0.01   0.03    203   1.01
var_ind_temporal[2]   9.8e-3  7.1e-4 9.1e-3 7.3e-4 3.5e-3 7.2e-3   0.01   0.04    166   1.04
var_ind_temporal[3]   9.6e-3  1.4e-3   0.01 6.4e-4 2.9e-3 6.0e-3   0.01   0.04     84   1.04
var_ind_temporal[4]   8.5e-3  1.2e-3   0.01 5.5e-4 2.4e-3 5.0e-3   0.01   0.04     80   1.06
var_ind_temporal[5]     0.17  4.9e-3   0.09   0.07   0.11   0.15    0.2   0.38    311   1.01
var_ind_temporal[6]     0.01  1.5e-3   0.02 5.4e-4 3.5e-3 8.1e-3   0.02   0.06    122   1.03
var_ind_temporal[7]   5.3e-3  5.2e-4 6.0e-3 4.4e-4 1.8e-3 3.6e-3 6.5e-3   0.02    135   1.02
var_ind_temporal[8]   7.4e-3  6.1e-4 8.0e-3 6.3e-4 2.5e-3 4.7e-3 9.3e-3   0.03    174   1.01
var_ind_temporal[9]     0.13  3.1e-3   0.07   0.04   0.08   0.11   0.16   0.32    597    1.0
var_ind_temporal[10]  8.0e-3  6.3e-4 8.3e-3 4.3e-4 2.7e-3 5.5e-3   0.01   0.03    174   1.01
var_ind_temporal[11]  5.6e-3  6.0e-4 6.4e-3 4.7e-4 1.7e-3 3.3e-3 7.1e-3   0.02    112   1.02
var_ind_temporal[12]    0.01  1.0e-3   0.01 4.2e-4 3.3e-3 7.2e-3   0.01   0.04    144   1.04
var_ind_temporal[13]    0.02  1.1e-3   0.02 2.4e-3 8.0e-3   0.01   0.02   0.06    225   1.01
var_ind_temporal[14]  6.6e-3  6.1e-4 7.8e-3 3.6e-4 1.9e-3 4.1e-3 8.6e-3   0.03    165   1.01
var_ind_temporal[15]    0.01  9.1e-4   0.01 1.4e-3 4.4e-3 8.6e-3   0.02   0.05    208   1.02
var_ind_temporal[16]    0.01  1.8e-3   0.01 5.3e-4 3.2e-3 6.4e-3   0.01   0.05     67   1.05
var_ind_temporal[17]    0.01  8.2e-4   0.01 1.5e-3 5.7e-3   0.01   0.02   0.04    199   1.01
var_ind_temporal[18]  7.6e-3  7.5e-4 8.2e-3 5.1e-4 2.2e-3 4.7e-3 9.6e-3   0.03    119   1.04
var_ind_temporal[19]  5.9e-3  1.2e-3 9.9e-3 2.7e-4 1.2e-3 2.9e-3 6.2e-3   0.03     70   1.02
var_ind_temporal[20]    0.01  1.2e-3   0.01 1.3e-3 4.9e-3 9.1e-3   0.02   0.06    140   1.02
var_ind_temporal[21]    0.01  1.0e-3   0.01 6.1e-4 2.9e-3 6.8e-3   0.01   0.05    168   1.03
var_ind_temporal[22]  9.1e-3  9.2e-4   0.01 5.1e-4 2.7e-3 5.6e-3   0.01   0.04    138   1.01
var_ind_temporal[23]  5.2e-3  7.7e-4 7.0e-3 3.3e-4 1.4e-3 3.0e-3 6.0e-3   0.02     81   1.04
var_ind_temporal[24]    0.01  7.8e-4   0.01 2.2e-3 6.6e-3   0.01   0.02   0.05    268   1.01
var_ind_temporal[25]  6.8e-3  1.0e-3 9.6e-3 3.4e-4 1.9e-3 3.6e-3 7.7e-3   0.03     89   1.02
var_ind_temporal[26]    0.01  7.1e-4 9.7e-3 1.8e-3 5.3e-3 9.2e-3   0.02   0.04    187   1.01
var_ind_temporal[27]  4.7e-3  5.9e-4 5.4e-3 3.0e-4 1.3e-3 2.8e-3 5.8e-3   0.02     84   1.02
var_ind_temporal[28]    0.12  2.5e-3   0.06   0.04   0.08   0.11   0.15   0.27    577    1.0
var_ind_temporal[29]    0.03  3.2e-3   0.03 1.9e-3 7.3e-3   0.02   0.03    0.1     89   1.02
var_ind_temporal[30]  4.0e-3  4.7e-4 4.6e-3 2.3e-4 1.0e-3 2.4e-3 5.1e-3   0.02     96   1.03
var_ind_temporal[31]    0.01  2.4e-3   0.02 8.1e-4 3.3e-3 7.0e-3   0.02   0.06     58   1.08
var_ind_temporal[32]  9.0e-3  7.0e-4 9.5e-3 9.1e-4 3.1e-3 6.3e-3   0.01   0.03    181   1.02
var_ind_temporal[33]    0.02  1.7e-3   0.02 2.3e-3 8.8e-3   0.02   0.03   0.08    192   1.03
var_ind_temporal[34]  9.9e-3  9.2e-4   0.01 6.2e-4 3.4e-3 6.6e-3   0.01   0.04    124   1.04
var_ind_temporal[35]    0.01 10.0e-4   0.01 1.2e-3 3.8e-3 7.3e-3   0.01   0.05    149   1.03
var_ind_temporal[36]    0.02  2.9e-3   0.03 5.2e-4 2.9e-3 7.6e-3   0.02   0.12    120   1.02
var_ind_temporal[37]  5.5e-3  7.0e-4 6.9e-3 5.0e-4 1.6e-3 3.3e-3 6.5e-3   0.02     98   1.03
var_ind_temporal[38]    0.01  1.6e-3   0.01 8.2e-4 3.2e-3 6.9e-3   0.01   0.04     55   1.05
var_ind_temporal[39]    0.01  1.3e-3   0.01 6.5e-4 3.3e-3 6.6e-3   0.01   0.04     95   1.05
var_ind_temporal[40]    0.19  4.1e-3   0.09   0.07   0.12   0.16   0.23   0.41    525    1.0
var_ind_temporal[41]  6.4e-3  8.0e-4 8.8e-3 3.3e-4 1.5e-3 3.6e-3 7.9e-3   0.03    119   1.02
var_ind_temporal[42]    0.01  1.5e-3   0.02 3.5e-4 2.4e-3 6.4e-3   0.02   0.06    173   1.02
var_ind_temporal[43]    0.01  1.4e-3   0.01 4.7e-4 3.5e-3 8.5e-3   0.02   0.05     78   1.04
var_ind_temporal[44]    0.01  1.6e-3   0.02 9.9e-4 4.4e-3 8.7e-3   0.02   0.06    118   1.03
var_ind_temporal[45]  6.6e-3  1.1e-3 7.1e-3 6.8e-4 2.3e-3 4.3e-3 8.3e-3   0.02     39   1.06
var_ind_temporal[46]  8.7e-3  1.3e-3   0.01 3.9e-4 1.8e-3 4.3e-3 9.2e-3   0.05    125   1.04
var_ind_temporal[47]    0.01  8.2e-4   0.01 8.4e-4 3.3e-3 6.9e-3   0.01   0.04    159   1.01
var_ind_temporal[48]    0.02  1.2e-3   0.01 1.9e-3 6.1e-3   0.01   0.02   0.05    131   1.05
var_ind_temporal[49]    0.03  1.8e-3   0.03 2.6e-3 9.6e-3   0.02   0.03   0.09    196   1.02
var_ind_temporal[50]    0.02  1.1e-3   0.02 4.3e-3   0.01   0.02   0.03   0.07    273   1.01
var_ind_temporal[51]  8.4e-3  7.9e-4 9.3e-3 4.4e-4 2.5e-3 5.3e-3   0.01   0.03    139   1.02
var_ind_temporal[52]  9.3e-3  6.2e-4 8.3e-3 1.1e-3 4.0e-3 6.9e-3   0.01   0.03    179   1.02
var_ind_temporal[53]    0.02  2.0e-3   0.02 9.0e-4 6.3e-3   0.01   0.02   0.08    108   1.01
var_ind_temporal[54]  5.4e-3  4.3e-4 5.4e-3 5.7e-4 2.0e-3 3.9e-3 6.9e-3   0.02    156   1.01
var_ind_temporal[55]  7.4e-3  1.5e-3 9.6e-3 3.9e-4 1.9e-3 4.5e-3 9.2e-3   0.03     41   1.11
var_ind_temporal[56]    0.17  3.7e-3   0.09   0.07   0.11   0.15   0.21   0.36    538   1.01
var_ind_temporal[57]  6.5e-3  6.8e-4 8.3e-3 5.8e-4 2.0e-3 4.1e-3 7.9e-3   0.03    148   1.02
var_ind_temporal[58]    0.01  9.7e-4   0.01 1.1e-3 4.8e-3 8.9e-3   0.02   0.05    191   1.02
var_ind_temporal[59]    0.01  8.1e-4   0.01 1.5e-3 5.5e-3 9.3e-3   0.02   0.04    207   1.03
var_ind_temporal[60]  8.2e-3  8.0e-410.0e-3 5.6e-4 2.8e-3 5.2e-3   0.01   0.03    157   1.02
var_ind_temporal[61]  6.9e-3  1.0e-3 9.7e-3 4.0e-4 1.8e-3 3.9e-3 7.9e-3   0.04     89   1.02
var_ind_temporal[62]    0.03  1.4e-3   0.02 3.7e-3   0.01   0.02   0.03   0.08    209   1.01
var_ind_temporal[63]  5.1e-3  4.3e-4 5.0e-3 5.9e-4 2.0e-3 3.6e-3 6.3e-3   0.02    131    1.0
var_ind_temporal[64]  9.6e-3  6.1e-4 8.8e-3 1.1e-3 3.8e-3 6.9e-3   0.01   0.03    210   1.01
var_ind_temporal[65]    0.03  1.8e-3   0.03 2.3e-3   0.01   0.02   0.04    0.1    208   1.02
var_ind_temporal[66]  8.5e-3  8.4e-4   0.01 5.6e-4 2.5e-3 5.1e-3   0.01   0.04    143   1.03
var_ind_temporal[67]    0.01  1.2e-3   0.02 9.7e-4 4.1e-3 8.8e-3   0.02   0.06    166   1.01
var_ind_temporal[68]  6.2e-3  1.4e-3 8.0e-3 2.0e-4 1.7e-3 3.8e-3 7.7e-3   0.03     31   1.08
var_ind_temporal[69]  9.1e-3  1.1e-3   0.01 3.0e-4 2.4e-3 5.5e-3   0.01   0.04    131   1.01
var_ind_temporal[70]    0.02  1.3e-3   0.02 1.9e-3 8.4e-3   0.02   0.03   0.08    250   1.01
var_ind_temporal[71]  8.0e-3  7.2e-4 7.9e-3 9.3e-4 3.0e-3 5.5e-3   0.01   0.03    122    1.0
var_ind_temporal[72]    0.01  2.4e-3   0.02 5.0e-4 2.5e-3 5.6e-3   0.01   0.06     73   1.07
var_ind_temporal[73]  6.4e-3  7.1e-4 7.9e-3 3.9e-4 1.9e-3 4.0e-3 8.0e-3   0.03    125   1.01
var_ind_temporal[74]    0.18  2.4e-3   0.07   0.08   0.13   0.16   0.22   0.35    886    1.0
var_ind_temporal[75]    0.01  1.7e-3   0.02 5.4e-4 3.3e-3 7.2e-3   0.02   0.06    107   1.02
var_ind_temporal[76]  8.9e-3  5.6e-4 8.6e-3 9.6e-4 3.6e-3 6.6e-3   0.01   0.03    235    1.0
var_ind_temporal[77]  7.4e-3  7.2e-4 7.8e-3 4.9e-4 2.2e-3 4.8e-3 9.8e-3   0.03    116   1.02
var_ind_temporal[78]    0.01  1.6e-3   0.01 4.4e-4 2.4e-3 5.6e-3   0.01   0.05     83   1.05
var_ind_temporal[79]  7.9e-3  1.1e-3 9.0e-3 4.7e-4 2.4e-3 5.2e-3   0.01   0.03     63   1.06
