"","x"
"z[6]",0
"z[10]",0
"z[29]",0
"z[41]",0
"z[57]",0
"z[75]",0
"z[82]",0
"z[83]",0
"z[101]",0
"z[105]",0
"z[107]",0
"z[145]",0
"z[156]",0
"z[178]",0
"z[196]",0
"z[202]",0
"z[18]",0.004275
"z[197]",0.007475
"z[132]",0.00795
"z[60]",0.01235
"z[185]",0.04555
"z[139]",0.05895
"z[155]",0.064875
"z[184]",0.06625
"z[24]",0.073775
"z[2]",0.074075
"z[11]",0.077975
"z[43]",0.086725
"z[146]",0.0924
"z[124]",0.093575
"z[64]",0.09605
"z[3]",0.119975
"z[142]",0.128475
"z[193]",0.136875
"z[161]",0.137275
"z[81]",0.16165
"z[20]",0.1685
"z[159]",0.188025
"z[50]",0.193975
"z[84]",0.244675
"z[205]",0.248125
"z[14]",0.25345
"z[37]",0.254525
"z[36]",0.25695
"z[208]",0.2689
"z[114]",0.280675
"z[48]",0.29795
"z[55]",0.299875
"z[111]",0.3156
"z[112]",0.325075
"z[88]",0.33465
"z[123]",0.34225
"z[25]",0.3437
"z[51]",0.3678
"z[106]",0.3739
"z[165]",0.388575
"z[131]",0.389425
"z[204]",0.411275
"z[180]",0.414625
"z[103]",0.416825
"z[56]",0.4307
"z[102]",0.440725
"z[86]",0.4432
"z[8]",0.450625
"z[134]",0.455025
"z[26]",0.4685
"z[157]",0.48625
"z[171]",0.486875
"z[182]",0.4869
"z[147]",0.490125
"z[63]",0.5198
"z[163]",0.52605
"z[30]",0.52715
"z[126]",0.5288
"z[71]",0.5417
"z[13]",0.548825
"z[108]",0.559025
"z[72]",0.560125
"z[90]",0.5622
"z[206]",0.56645
"z[118]",0.5715
"z[1]",0.598825
"z[99]",0.603975
"z[194]",0.6253
"z[97]",0.62565
"z[49]",0.626325
"z[121]",0.6453
"z[67]",0.655525
"z[28]",0.6606
"z[68]",0.668475
"z[188]",0.6763
"z[66]",0.685725
"z[100]",0.688375
"z[92]",0.69195
"z[27]",0.69765
"z[154]",0.7056
"z[174]",0.723175
"z[190]",0.72355
"z[17]",0.730325
"z[113]",0.73365
"z[198]",0.7429
"z[203]",0.748825
"z[54]",0.7541
"z[5]",0.76465
"z[45]",0.7677
"z[168]",0.78725
"z[4]",0.7905
"z[153]",0.791
"z[136]",0.7918
"z[148]",0.794425
"z[181]",0.79695
"z[172]",0.7984
"z[160]",0.802925
"z[130]",0.8073
"z[53]",0.808675
"z[74]",0.8121
"z[93]",0.813525
"z[87]",0.815125
"z[144]",0.816975
"z[128]",0.821425
"z[61]",0.821475
"z[176]",0.82155
"z[42]",0.8264
"z[110]",0.83365
"z[34]",0.835775
"z[31]",0.8474
"z[200]",0.849575
"z[23]",0.851675
"z[76]",0.857775
"z[116]",0.86195
"z[115]",0.864375
"z[52]",0.866925
"z[91]",0.871675
"z[109]",0.872325
"z[35]",0.876625
"z[135]",0.878325
"z[210]",0.8861
"z[85]",0.889175
"z[179]",0.89205
"z[140]",0.892575
"z[122]",0.898225
"z[164]",0.89825
"z[117]",0.9009
"z[183]",0.9013
"z[69]",0.903
"z[175]",0.903225
"z[96]",0.9047
"z[94]",0.906675
"z[95]",0.909425
"z[166]",0.909425
"z[158]",0.91305
"z[80]",0.9135
"z[16]",0.918
"z[38]",0.9192
"z[98]",0.91965
"z[12]",0.9215
"z[104]",0.92295
"z[141]",0.922975
"z[119]",0.924025
"z[191]",0.924175
"z[7]",0.92815
"z[170]",0.92885
"z[186]",0.930375
"z[150]",0.935075
"z[149]",0.939775
"z[9]",0.94025
"z[19]",0.9413
"z[189]",0.942075
"z[15]",0.943625
"z[40]",0.9438
"z[201]",0.943825
"z[46]",0.9443
"z[177]",0.955525
"z[209]",0.956225
"z[73]",0.9567
"z[125]",0.957775
"z[169]",0.9578
"z[151]",0.958875
"z[79]",0.959075
"z[192]",0.9625
"z[62]",0.96395
"z[129]",0.96695
"z[21]",0.968675
"z[22]",0.96935
"z[152]",0.969575
"z[162]",0.969975
"z[137]",0.972725
"z[39]",0.974025
"z[120]",0.976275
"z[65]",0.97725
"z[70]",0.97745
"z[77]",0.978325
"z[167]",0.978525
"z[32]",0.979475
"z[58]",0.98085
"z[59]",0.982475
"z[133]",0.98295
"z[127]",0.983475
"z[44]",0.984725
"z[173]",0.9851
"z[78]",0.985125
"z[187]",0.985925
"z[199]",0.985975
"z[143]",0.988075
"z[195]",0.988825
"z[89]",0.9905
"z[138]",0.99135
"z[33]",0.9921
"z[207]",0.993
"z[47]",0.99405
