,x
0,94.0
1,51.0
2,12.0
3,29.0
4,31.0
5,11.0
6,55.0
7,36.0
8,24.0
9,32.0
10,39.0
11,21.0
12,51.0
13,31.0
14,37.0
15,14.0
16,42.0
17,86.0
18,19.0
19,18.0
20,29.0
21,37.0
22,42.0
23,66.0
24,41.0
25,27.0
26,14.0
27,64.0
28,37.0
29,15.0
30,19.0
31,38.0
32,33.0
33,25.0
34,36.0
35,31.0
36,27.0
37,24.0
38,14.0
39,37.0
40,38.0
41,37.0
42,22.0
43,13.0
44,10.0
45,33.0
46,25.0
47,22.0
48,20.0
49,35.0
50,23.0
51,29.0
52,28.0
53,23.0
54,49.0
55,52.0
56,28.0
57,29.0
58,13.0
59,22.0
60,22.0
61,26.0
62,46.0
63,56.0
64,34.0
65,43.0
66,30.0
67,21.0
68,8.0
69,25.0
70,27.0
71,27.0
72,51.0
73,41.0
74,14.0
75,16.0
76,38.0
77,29.0
78,34.0
79,7.0
80,39.0
81,16.0
82,13.0
83,41.0
84,33.0
85,49.0
86,32.0
87,24.0
88,23.0
89,48.0
90,18.0
91,25.0
92,34.0
93,31.0
94,14.0
95,6.0
96,12.0
97,57.0
98,8.0
99,38.0
100,36.0
101,21.0
102,24.0
103,22.0
104,18.0
105,30.0
106,16.0
107,14.0
108,25.0
109,65.0
110,44.0
111,69.0
112,10.0
113,32.0
114,58.0
115,30.0
116,34.0
117,27.0
118,43.0
119,14.0
120,33.0
121,25.0
122,35.0
123,11.0
124,20.0
125,41.0
126,17.0
127,13.0
128,34.0
129,25.0
130,33.0
131,44.0
132,10.0
133,17.0
134,17.0
135,35.0
136,24.0
137,19.0
138,32.0
139,22.0
140,22.0
141,63.0
142,124.0
143,36.0
144,32.0
145,23.0
146,21.0
147,29.0
148,14.0
149,55.0
150,14.0
151,19.0
152,36.0
153,25.0
154,36.0
155,23.0
156,54.0
157,17.0
158,15.0
159,33.0
160,35.0
161,12.0
162,32.0
163,29.0
164,32.0
165,28.0
166,34.0
167,72.0
168,64.0
169,29.0
170,20.0
171,24.0
172,28.0
173,14.0
174,38.0
175,20.0
176,59.0
177,26.0
178,31.0
179,38.0
180,23.0
181,32.0
182,34.0
183,18.0
184,45.0
185,23.0
186,124.0
187,28.0
188,29.0
189,47.0
190,24.0
191,11.0
192,16.0
193,212.0
194,72.0
195,14.0
196,37.0
197,14.0
198,26.0
199,20.0
200,10.0
201,20.0
202,66.0
203,10.0
204,16.0
205,38.0
206,23.0
207,44.0
208,183.0
209,51.0
